PathwayID,PathwayName,Enrichment FDR,nGenes,Pathway Genes,Fold Enrichment,URL,Genes
hsa05212,Pancreatic cancer,3.13E-41,62,76,6.38374793,http://www.genome.jp/kegg-bin/show_pathway?hsa05212 , CDK4  CDK6  CDKN1A  CDKN2A  GADD45G  RALBP1  CHUK  DDB2  GADD45A  E2F3  EGF  EGFR  ERBB2  AKT1  AKT2  IKBKB  ARAF  JAK1  KRAS  SMAD2  SMAD3  SMAD4  GADD45B  NFKB1  PIK3CA  PIK3R1  PIK3R2  PLD1  PLD2  MAPK1  MAPK3  MAPK8  MAPK9  MAPK10  MAP2K1  BAD  BAK1  BAX  RAC2  RAD51  RAF1  RALA  RB1  CCND1  RELA  BCL2L1  RPS6KB1  BRAF  BRCA2  STAT1  STAT3  TGFA  TGFB1  TGFB2  TGFB3  TGFBR1  TGFBR2  TP53  VEGFA  CASP9  PIK3R3  IKBKG
hsa05220,Chronic myeloid leukemia,7.21E-40,61,76,6.280784254,http://www.genome.jp/kegg-bin/show_pathway?hsa05220 , CDK4  CDK6  CDKN1A  CDKN1B  CDKN2A  GADD45G  CHUK  CRK  CRKL  DDB2  GADD45A  E2F3  AKT1  AKT2  ABL1  SHC2  GRB2  HDAC1  HDAC2  IKBKB  ARAF  KRAS  SMAD3  SMAD4  MDM2  MYC  GADD45B  NFKB1  NFKBIA  NRAS  PIK3CA  PIK3R1  PIK3R2  MAPK1  MAPK3  MAP2K1  BAD  BAK1  PTPN11  BAX  RAF1  RB1  CCND1  RELA  BCL2L1  BCR  SHC1  SOS1  BRAF  STAT5A  STAT5B  TGFB1  TGFB2  TGFB3  TGFBR1  TGFBR2  TP53  PIK3R3  IKBKG  RUNX1  CBL
hsa05144,Malaria,1.15E-25,39,49,6.228251766,http://www.genome.jp/kegg-bin/show_pathway?hsa05144 , COMP  CR1  CSF3  GYPA  GYPB  HBA2  HBB  HGF  ICAM1  IFNG  IL1B  IL6  CXCL8  IL10  IL12A  IL18  ITGAL  ITGB2  KLRB1  LRP1  MET  MYD88  PECAM1  TLR9  CCL2  SDC1  SDC2  SELE  SELP  TGFB1  TGFB2  TGFB3  THBS1  TLR2  TLR4  VCAM1  CD36  CD40  CD40LG
hsa04657,IL-17 signaling pathway,1.81E-47,74,93,6.226534575,http://www.genome.jp/kegg-bin/show_pathway?hsa04657 , CEBPB  IL17F  CHUK  IL17RE  MAPK14  CSF2  CSF3  ELAVL1  FOS  FOSB  IL17RA  IL17C  IL17B  TBK1  CXCL1  CXCL2  GSK3B  HSP90AA1  S100A7A  IFNG  IKBKB  IL1B  IL4  IL5  IL6  CXCL8  IL17A  CXCL10  JUN  JUND  LCN2  MMP1  MMP3  MMP9  MMP13  NFKB1  NFKBIA  IL17D  IL17RB  MAPK1  MAPK3  MAPK6  MAPK7  MAPK8  MAPK11  MAPK9  MAPK10  PTGS2  RELA  S100A7  S100A8  S100A9  CCL2  CCL7  CCL11  CCL17  CCL20  CXCL6  CXCL5  IL25  MAP3K7  TNFAIP3  HSP90B1  TRAF2  TRAF3  TRAF5  TRAF6  MUC5B  FOSL1  CASP3  CASP8  IL17RC  IKBKG  FADD
hsa01521,EGFR tyrosine kinase inhibitor resistance,1.89E-39,62,79,6.141327123,http://www.genome.jp/kegg-bin/show_pathway?hsa01521 , BCL2L11  EGF  EGFR  EIF4E  EIF4EBP1  ERBB2  ERBB3  AKT1  AKT2  FGF2  FGFR3  FGFR2  FOXO3  GAB1  SHC2  GAS6  GRB2  GSK3B  HGF  NRG1  IGF1  IGF1R  IL6  IL6R  ARAF  JAK1  JAK2  KDR  KRAS  MET  NF1  NRAS  PDGFA  PDGFB  PDGFRA  PDGFRB  PIK3CA  PIK3R1  PIK3R2  PLCG1  PLCG2  PRKCA  AXL  PRKCG  MAPK1  MAPK3  PDGFC  MAP2K1  BAD  BAX  RAF1  BCL2  BCL2L1  RPS6KB1  SHC1  SOS1  SRC  BRAF  STAT3  TGFA  VEGFA  PIK3R3
hsa05221,Acute myeloid leukemia,7.04E-33,52,67,6.07332013,http://www.genome.jp/kegg-bin/show_pathway?hsa05221 , CEBPA  CHUK  CSF1R  CSF2  DUSP6  EIF4EBP1  AKT1  AKT2  FCGR1A  FLT3  GRB2  IKBKB  IL3  ITGAM  ARAF  JUP  KIT  KRAS  MPO  MYC  NFKB1  NRAS  LEF1  PIK3CA  PIK3R1  PIK3R2  PML  PPARD  MAPK1  MAPK3  MAP2K1  BAD  RAF1  RARA  CCND1  BCL2A1  RELA  RPS6KB1  SOS1  SPI1  BRAF  STAT3  STAT5A  STAT5B  TCF7  TCF7L2  PIK3R3  IKBKG  RUNX1  RUNX1T1  PER2  CCNA2
hsa05210,Colorectal cancer,8.68E-41,66,86,6.005416282,http://www.genome.jp/kegg-bin/show_pathway?hsa05210 , BCL2L11  CDKN1A  GADD45G  CTNNB1  DCC  DDB2  GADD45A  EGF  EGFR  EREG  AKT1  AKT2  FOS  BBC3  GRB2  GSK3B  APC  BIRC5  ARAF  JUN  AREG  KRAS  RHOA  SMAD2  SMAD3  SMAD4  MLH1  MSH2  MSH3  MYC  GADD45B  NRAS  LEF1  PIK3CA  PIK3R1  PIK3R2  PMAIP1  CYCS  MAPK1  MAPK3  MAPK8  MAPK9  MAPK10  MAP2K1  BAD  BAK1  BAX  RAC2  RAF1  RALA  CCND1  BCL2  RPS6KB1  SOS1  BRAF  TCF7  TCF7L2  TGFA  TGFB1  TGFB2  TGFB3  TGFBR1  TGFBR2  TP53  CASP3  CASP9
hsa05223,Non-small cell lung cancer,4.38E-34,55,72,5.977613429,http://www.genome.jp/kegg-bin/show_pathway?hsa05223 , CDK4  CDK6  CDKN1A  CDKN2A  GADD45G  RASSF1  DDB2  GADD45A  E2F3  EGF  EGFR  ERBB2  AKT1  AKT2  FHIT  FOXO3  ALK  GRB2  HGF  ARAF  JAK3  KIF5B  KRAS  MET  GADD45B  NRAS  PDPK1  PIK3CA  PIK3R1  PIK3R2  PLCG1  PLCG2  PRKCA  PRKCG  MAPK1  MAPK3  MAP2K1  BAD  BAK1  BAX  RAF1  RARB  RB1  CCND1  RET  RXRA  SOS1  BRAF  STAT3  STAT5A  STAT5B  STK4  TGFA  TP53  CASP9
hsa04933,AGE-RAGE signaling pathway in diabetic complications,3.59E-46,76,100,5.947181943,http://www.genome.jp/kegg-bin/show_pathway?hsa04933 , CDK4  CDKN1B  COL1A1  COL1A2  COL3A1  COL4A1  COL4A2  COL4A3  COL4A4  COL4A5  COL4A6  MAPK14  CYBB  AGT  AGTR1  EDN1  EGR1  AKT1  AKT2  FOXO1  PLCB1  FN1  NOX1  ICAM1  IL1A  IL1B  IL6  CXCL8  JAK2  JUN  KRAS  SMAD2  SMAD3  SMAD4  MMP2  NFATC1  NFKB1  NOS3  NRAS  NOX4  SERPINE1  PIK3CA  PIK3R1  PIK3R2  PLCG1  PLCG2  PRKCA  PRKCZ  MAPK1  MAPK3  MAPK8  MAPK11  MAPK9  MAPK10  BAX  CCND1  BCL2  RELA  CCL2  SELE  STAT1  STAT3  STAT5A  STAT5B  TGFB1  TGFB2  TGFB3  TGFBR1  TGFBR2  THBD  VCAM1  VEGFA  VEGFB  VEGFC  CASP3  PIK3R3
hsa04917,Prolactin signaling pathway,2.96E-31,52,70,5.813034981,http://www.genome.jp/kegg-bin/show_pathway?hsa04917 , CISH  MAPK14  CYP17A1  AKT1  AKT2  ESR1  ESR2  FOXO3  FOS  SHC2  GCK  GRB2  GSK3B  INS  IRF1  JAK2  KRAS  LHB  LHCGR  NFKB1  NRAS  PIK3CA  PIK3R1  PIK3R2  MAPK1  MAPK3  MAPK8  MAPK11  MAPK9  MAPK10  MAP2K1  PRL  PRLR  RAF1  CCND1  RELA  SHC1  SLC2A2  SOS1  SRC  STAT1  STAT3  STAT5A  STAT5B  TH  PIK3R3  TNFSF11  SOCS1  TNFRSF11A  SOCS2  CCND2  SOCS3
hsa05213,Endometrial cancer,5.54E-26,43,58,5.801470588,http://www.genome.jp/kegg-bin/show_pathway?hsa05213 , CDKN1A  GADD45G  CTNNA1  CTNNB1  DDB2  GADD45A  EGF  EGFR  ELK1  ERBB2  AKT1  AKT2  FOXO3  GRB2  GSK3B  APC  ILK  ARAF  KRAS  MLH1  MYC  GADD45B  NRAS  LEF1  PDPK1  PIK3CA  PIK3R1  PIK3R2  MAPK1  MAPK3  MAP2K1  BAD  BAK1  BAX  RAF1  CCND1  SOS1  BRAF  TCF7  TCF7L2  TP53  CASP9  PIK3R3
hsa04668,TNF signaling pathway,1.47E-47,82,112,5.729193131,http://www.genome.jp/kegg-bin/show_pathway?hsa04668 , DNM1L  CEBPB  CHUK  MAP3K8  CREB1  ATF2  MAPK14  CSF1  CSF2  JAG1  EDN1  PGAM5  MLKL  AKT1  AKT2  FOS  CXCL1  CXCL2  BIRC3  ICAM1  IFNB1  FAS  IKBKB  IL1B  IL6  IL15  CXCL10  IRF1  JUN  JUNB  LIF  MAP3K5  MMP3  MMP9  MMP14  ATF4  NFKB1  NFKBIA  PIK3CA  PIK3R1  PIK3R2  MAPK1  MAPK3  MAPK8  MAPK11  MAPK9  MAPK10  MAP2K1  MAP2K3  MAP2K6  PTGS2  RELA  BCL3  CCL2  CCL20  CXCL6  CXCL5  CX3CL1  SELE  NOD2  MAP2K4  MAP3K7  TNFAIP3  TNFRSF1A  TNFRSF1B  TRAF1  TRAF2  TRAF3  TRAF5  VCAM1  VEGFC  CASP3  CASP7  CASP8  CASP10  PIK3R3  IKBKG  RIPK1  FADD  IL18R1  CFLAR  SOCS3
hsa05215,Prostate cancer,2.08E-41,71,97,5.727752549,http://www.genome.jp/kegg-bin/show_pathway?hsa05215 , CDK2  CDKN1A  CDKN1B  CHUK  CREB1  CREBBP  CTNNB1  E2F3  EGF  EGFR  EP300  ERBB2  AKT1  ERG  AKT2  FGFR1  FGFR2  FOXO1  GRB2  GSK3B  GSTP1  HSP90AA1  IGF1  IGF1R  KLK3  IKBKB  INS  AR  ARAF  KRAS  MDM2  MMP3  MMP9  ATF4  NFKB1  NFKBIA  NRAS  LEF1  PDGFA  PDGFB  PDGFRA  PDGFRB  PDPK1  PIK3CA  PIK3R1  PIK3R2  PLAT  PLAU  MAPK1  MAPK3  PDGFC  MAP2K1  BAD  RAF1  RB1  CCND1  BCL2  RELA  SOS1  BRAF  TCF7  TCF7L2  ZEB1  TGFA  TMPRSS2  TP53  HSP90B1  IL1R2  CASP9  PIK3R3  IKBKG
