0,1
GYPA,AAVS1
MPO,AAVS1
PRTN3,AAVS1
REN,ACE
ACSL4,MT-CO2
PTGS2,ACSL4
MKI67,ACTC1
AKT1,AGT
EGF,AGT
EGFR,AGT
HMOX1,AGT
IAPP,AGT
MAPK1,AGT
AGTR1,ACE
CCL4,AIP
HAVCR1,AIP
AKR1B1,AKR1A1
AKT1,BCL2L11
AKT1,CCL2
HMOX1,AKT1
IAPP,AKT1
AKT1,IL1B
IL6,AKT1
AKT1,JAK2
AKT1,JUP
AKT1,NFE2L2
AKT1,PPARGC1A
PRKAA2,AKT1
SETD2,AKT1
SIRT1,AKT1
AKT1,SMAD2
AKT1,STAT3
AKT1,VEGFA
CKB,ALB
SPP1,ALB
VKORC1,ALB
ANGPT2,ANGPT1
BAX,AKT1
BAX,CASP8
BAX,CASP9
BAX,CYCS
BAX,FOXO3
NR5A2,BAX
BAX,PGAM5
PIK3CA,BAX
BAX,PRKAA1
BAX,SIRT1
BCL2,AKT1
BAX,BCL2
BCL2,BCL2L11
BCL2,CASP3
BCL2,CASP8
BCL2,CASP9
BCL2,CCL2
BCL2,FOXO3
BCL2,IL1B
IL6,BCL2
BCL2,JAK2
BCL2,JUP
NR5A2,BCL2
PIK3CA,BCL2
BCL2,PRKAA1
BCL2,PRKAA2
SETD2,BCL2
SIRT1,BCL2
BCL2,SMAD2
BCL2,STAT3
TP53,BCL2
BCL2,VEGFA
BCL2L11,CCL2
BCL2L11,IL1B
IL6,BCL2L11
JAK2,BCL2L11
PIK3CA,BCL2L11
PRKAA2,BCL2L11
SETD2,BCL2L11
SIRT1,BCL2L11
SMAD2,BCL2L11
STAT3,BCL2L11
BCL2L11,VEGFA
IGFBP7,BCS1L
MAOB,C10orf59
CASP1,IL18
CASP1,IL1B
CASP1,NFE2L2
ACTC1,CASP3
AKT1,CASP3
BAX,CASP3
CASP3,BCL2L11
CASP8,CASP3
CASP9,CASP3
CASP3,CCL2
CASP3,FOXO3
GSDM1,CASP3
CASP3,IL1B
IL6,CASP3
JAK2,CASP3
CASP3,JUP
MAPK3,CASP3
MKI67,CASP3
MMRN1,CASP3
CASP3,NFE2L2
NR5A2,CASP3
CASP3,PECAM1
PIK3CA,CASP3
CASP3,PPARGC1A
CASP3,PRKAA1
PRKAA2,CASP3
S100A4,CASP3
SETD2,CASP3
SIRT1,CASP3
CASP3,SMAD2
STAT3,CASP3
CASP3,TNF
CASP3,VEGFA
CASP8,FOXO3
CASP8,PRKAA1
SIRT1,CASP8
CASP9,CASP8
CASP9,FOXO3
CASP9,PRKAA1
SIRT1,CASP9
AIP,CCL2
CCL4,CCL2
CXCL10,CCL2
HAVCR1,CCL2
IL13,CCL2
PRKAA2,CCL2
SMAD2,CCL2
VEGFA,CCL2
CD19,ABCC6
CD4,CD8A
CD4,FCER1G
KCNQ5,CD4
CD44,CXCL5
CD44,MAPK15
CD46,CFH
FAS,CD68
FCER1G,CD8A
CKB,LCN2
