0,1
ABCG5,ABCG8
FASN,ACACA
ACE2,ACE
ACSS2,IL1B
WT1,ACTN4
ADIPOQ,HAVCR1
ADIPOQ,LCN2
ADIPOQ,TNF
ACE,AGT
AGTR1,ACE
AGTR1,AGT
EGFR,AGTR1
REN,AGTR1
PIK3CA,AKT1
PRKCA,AKT1
CST3,ALB
IL6,ALB
INS,ALB
TTR,ALB
ALPI,PTH
ANGPT2,ANGPT1
GFAP,APLP2
SAA,APLP2
DEFB1,AQP1
AVP,CRHR1
BAX,BECN1
BAX,IGF2BP2
BAX,PRKAA2
TP53,BAX
BAX,ZIC3
BAX,BCL2
BCL2,BECN1
IGF2BP2,BCL2
BCL2,PRKAA2
TP53,BCL2
BCL2,ZIC3
MKI67,BDNF
PRKAA2,BECN1
SIRT1,BECN1
MAOB,C10orf59
CACNA1A,CCDC130
CACNA1A,LSP1
GSDM1,CASP1
CASP1,IL18
CASP1,IL1B
CASP1,SOD1
BAX,CASP3
BCL2,CASP3
CASP3,ZIC3
CAT,IL1A
CAT,IL1B
IL6,CAT
SOD1,CAT
CAT,TNF
LSP1,CCDC130
FAS,CCL2
IL1B,CCL2
PIK3R1,CCL2
TGFA,CCL2
TNF,CCL2
TNFRSF8,CCL2
TSC1,CCL26
MIRN195,CCND1
CD19,ABCC6
CD27,CCL2
FAS,CD27
CD27,IL1B
IL7,CD27
PI3,CD27
CD27,PIK3CG
CD27,PIK3R1
TNFRSF21,CD27
TNFRSF8,CD27
CD46,CFH
CFHR5,CD46
CD4,CD8A
CD46,CFB
CFH,CFB
CFHR1,CFB
CFHR2,CFB
CFHR5,CFB
CFHR1,CD46
CFHR1,CFH
CFHR1,CFHR5
CFHR2,CD46
CFHR2,CFH
CFHR2,CFHR1
CFHR2,CFHR5
CFHR5,CFH
ACOX1,CHPT1
CSTB,CLU
SREBF2,CNBP
COL1A1,ACTC1
COL1A1,COL23A1
COL4A4,COL1A1
COL1A1,ENPP6
IL10,COL1A1
COL1A1,LOX
COL1A1,NLGN4X
PROC,COL1A1
COL1A1,SMAD2
COL1A1,TGFA
COL1A1,TGFB2
COL1AR,ACTC1
COL1A1,COL1AR
CXCR7,COL1AR
COL1AR,ITK
COL1AR,JUP
COL1AR,VIM
ENPP6,COL23A1
COL23A1,NLGN4X
PROC,COL23A1
AMMECR1,COL4A3
COL4A4,COL4A3
COL4A5,COL4A3
COL4A6,COL4A3
AMMECR1,COL4A4
COL4A4,COL4A5
COL4A4,COL4A6
COL4A5,ACTN4
AMMECR1,COL4A5
COL4A6,COL4A5
MPO,COQ10A
CRHR2,AVP
CRHR2,CRHR1
CRP,ALB
EGFR,CST3
CXCR7,SLC22A3
CYGB,HBB
CYP2B6,CYP2E1
SLC22A6,CYP2B6
CYP2B6,SLC22A8
SLC26A6,CYP2B6
CYP2B6,SLC45A2
CYP2B6,SULT1A1
SLC22A6,CYP2E1
SLC22A8,CYP2E1
SLC26A6,CYP2E1
CYP2E1,SLC45A2
CYP2E1,SULT1A1
DBP,CCND1
DMN,STMN1
EGFR,CACNA1A
EGFR,CCDC130
EGFR,CCL2
EGFR,LSP1
COL1A1,ELN
ENPP6,NLGN4X
PROC,ENPP6
EPO,CRP
EPO,CYGB
EPO,HBB
EPO,PTH
ERAL1,KL
EGFR,ERBB2
FAS,IL1B
FAS,PIK3R1
KLRK1,FCGR3A
FGF23,INS
FGF23,KL
FGF23,PTH
BECN1,FOXO1
MT-CO2,FTH1
PTGS2,FTH1
ACOX1,GAPDH
GAPDH,CHPT1
GCG,GCGR
GCG,NR3C2
GCG,SLC5A2
FGF23,GDF15
KL,GDF15
LGALS3,GDF15
GIP,GCG
GIP,GIPR
GCG,GIPR
DPP4,GLP1R
NR3C2,GLP1R
GPI,EPO
GPI,FLOT2
GPX4,KLF5
GSDM1,IL18
GSDM1,IL1B
GSDM1,SOD1
HBB,ALB
CRP,HBB
DCTN5,HBB
HDAC3,GPX4
NR3C2,HIF1A
HK2,KL
MYH7,HLA-A
HLA-DRB1,HLA-B
HMGCR,ACACA
FASN,HMGCR
SREBF2,HMGCR
FASN,HMGCS1
HMGCS1,LDLR
HMGCS1,PCSK9
SREBF2,HMGCS1
FGF23,IBSP
IBSP,KL
IBSP,SOST
IFT122,IFT140
FGF23,IGF1
INS,IGF1
IGF1,KL
IGF2BP2,BECN1
IGF2BP2,PRKAA2
IHPK1,IHPK2
IHPK1,IHPK3
IHPK2,IHPK3
SOD1,IL18
IL1A,IL1B
IL6,IL1A
TNF,IL1A
IL18,IL1B
VWS,IL1B
IL1RL1,IL33
IL6,CAMP
IL6,CCL2
IL6,IL1B
IL6,IL6R
IL6,SIRT1
IL6,SLC5A2
IL6,TGFA
IL7,CCL2
IL7,FAS
IL7,IL1B
IL7,PI3
IL7,PIK3CG
