0,1
REN,ACE
AGTR1,ACE
PRKAA2,AKT1
ANGPT1,ANGPT2
BAX,BCL2
CASP3,BCL2
PRKAA2,BCL2
TP53,BCL2
C10orf59,MAOB
IL18,CASP1
IL1B,CASP1
NFE2L2,CASP1
BAX,CASP3
ABCC6,CD19
CD8A,CD4
CD46,CFH
CLU,CSTB
COL23A1,COL1A1
ENPP6,COL1A1
NLGN4X,COL1A1
COL1A1,PROC
TGFA,COL1A1
TGFB2,COL1A1
COL23A1,ENPP6
COL23A1,NLGN4X
COL23A1,PROC
NLGN4X,ENPP6
ENPP6,PROC
ERBB2,EGFR
PTH,FGF23
KLF5,GPX4
GSDM1,CASP1
HAVCR1,LCN2
HDAC3,GPX4
HK2,KL
IL1B,CCL2
IL1B,IL18
IL1A,IL1B
IL6,IL1B
IL8,IL1B
IL6,CCL2
IL6,LCN2
IL6,TNF
REN,INS
HDAC3,KLF5
MAFK,NFE2L2
HAVCR1,MMP2
MMP2,LCN2
NAGLU,RBP4
NFE2L2,IL1B
NFE2L2,PIK3CA
NFE2L2,PTGS2
NLGN4X,PROC
PIK3CA,AKT1
PIK3CA,PRKAA2
COL1A1,PLG
COL23A1,PLG
ENPP6,PLG
NLGN4X,PLG
PROC,PLG
TGFA,PLG
TGFB2,PLG
MAFK,PTGS2
PTGS2,MT-CO2
RORC,AKT1
PIK3CA,RORC
SAA,IL6
IL6,SIRT1
SIRT1,PRKAA2
CAT,SOD1
SPP1,TIMP1
TBXAS1,CYP2B6
COL23A1,TGFA
TGFA,ENPP6
NLGN4X,TGFA
TGFA,PROC
TGFA,TGFB2
COL23A1,TGFB2
TGFB2,ENPP6
NLGN4X,TGFB2
TGFB2,PROC
TP53,BAX
