Gene1,Gene2
CASP1,IL18
NLGN4X,PLG
COL1A1,NLGN4X
NLGN4X,TGFB2
IL6,SAA
COL23A1,ENPP6
COL1A1,COL23A1
FGF23,PTH
BAX,BCL2
IL18,IL1B
ABCC6,CD19
IL6,SIRT1
AKT1,RORC
HDAC3,KLF5
MAFK,NFE2L2
INS,REN
IL1A,IL1B
LCN2,MMP2
HAVCR1,LCN2
ENPP6,PROC
GPX4,HDAC3
HK2,KL
NFE2L2,PIK3CA
CAT,SOD1
AKT1,PIK3CA
CCL2,IL1B
AKT1,PRKAA2
CD46,CFH
COL1A1,TGFA
PLG,TGFB2
ENPP6,PLG
ENPP6,TGFB2
BAX,CASP3
COL1A1,ENPP6
CASP1,NFE2L2
NAGLU,RBP4
CASP1,GSDM1
CCL2,IL6
NLGN4X,TGFA
ENPP6,NLGN4X
MAFK,PTGS2
PIK3CA,RORC
PLG,TGFA
NFE2L2,PTGS2
ACE,AGTR1
PRKAA2,SIRT1
COL23A1,PROC
CYP2B6,TBXAS1
BCL2,TP53
ACE,REN
SPP1,TIMP1
BCL2,PRKAA2
GPX4,KLF5
IL1B,IL6
IL1B,IL8
COL23A1,PLG
CASP1,IL1B
MT-CO2,PTGS2
C10orf59,MAOB
PROC,TGFB2
COL23A1,NLGN4X
ENPP6,TGFA
HAVCR1,MMP2
EGFR,ERBB2
PROC,TGFA
IL6,TNF
COL1A1,PROC
PIK3CA,PRKAA2
COL23A1,TGFB2
TGFA,TGFB2
CD4,CD8A
BAX,TP53
COL1A1,PLG
IL6,LCN2
COL1A1,TGFB2
BCL2,CASP3
NLGN4X,PROC
IL1B,NFE2L2
ANGPT1,ANGPT2
PLG,PROC
CLU,CSTB
COL23A1,TGFA
