0,1
AAVS1,GYPA
MPO,AAVS1
AAVS1,PRTN3
ACSL4,MT-CO2
PTGS2,ACSL4
MKI67,ACTC1
AGT,AKT1
AGT,EGF
AGT,EGFR
AGT,HMOX1
AGT,IAPP
AGT,MAPK1
CCL4,AIP
HAVCR1,AIP
AKR1B1,AKR1A1
BCL2L11,AKT1
AKT1,CCL2
AKT1,HMOX1
IAPP,AKT1
IL1B,AKT1
IL6,AKT1
AKT1,JAK2
JUP,AKT1
NFE2L2,AKT1
AKT1,PPARGC1A
AKT1,SETD2
SIRT1,AKT1
SMAD2,AKT1
STAT3,AKT1
VEGFA,AKT1
CKB,ALB
SPP1,ALB
VKORC1,ALB
BAX,AKT1
BAX,CASP8
CASP9,BAX
CYCS,BAX
FOXO3,BAX
NR5A2,BAX
PGAM5,BAX
PIK3CA,BAX
PRKAA1,BAX
SIRT1,BAX
AKT1,BCL2
BCL2L11,BCL2
CASP8,BCL2
CASP9,BCL2
CCL2,BCL2
FOXO3,BCL2
IL1B,BCL2
IL6,BCL2
JAK2,BCL2
JUP,BCL2
NR5A2,BCL2
PIK3CA,BCL2
PRKAA1,BCL2
SETD2,BCL2
SIRT1,BCL2
SMAD2,BCL2
STAT3,BCL2
VEGFA,BCL2
BCL2L11,CCL2
BCL2L11,IL1B
IL6,BCL2L11
BCL2L11,JAK2
BCL2L11,PIK3CA
BCL2L11,PRKAA2
BCL2L11,SETD2
BCL2L11,SIRT1
BCL2L11,SMAD2
STAT3,BCL2L11
VEGFA,BCL2L11
IGFBP7,BCS1L
ACTC1,CASP3
AKT1,CASP3
BCL2L11,CASP3
CASP3,CASP8
CASP9,CASP3
CASP3,CCL2
FOXO3,CASP3
GSDM1,CASP3
IL1B,CASP3
IL6,CASP3
CASP3,JAK2
JUP,CASP3
MAPK3,CASP3
MKI67,CASP3
MMRN1,CASP3
NFE2L2,CASP3
NR5A2,CASP3
PECAM1,CASP3
PIK3CA,CASP3
CASP3,PPARGC1A
PRKAA1,CASP3
PRKAA2,CASP3
S100A4,CASP3
CASP3,SETD2
SIRT1,CASP3
SMAD2,CASP3
STAT3,CASP3
CASP3,TNF
VEGFA,CASP3
FOXO3,CASP8
PRKAA1,CASP8
SIRT1,CASP8
CASP9,CASP8
CASP9,FOXO3
CASP9,PRKAA1
CASP9,SIRT1
AIP,CCL2
CCL4,CCL2
CXCL10,CCL2
HAVCR1,CCL2
IL13,CCL2
PRKAA2,CCL2
SMAD2,CCL2
VEGFA,CCL2
FCER1G,CD4
KCNQ5,CD4
CD44,CXCL5
CD44,MAPK15
CD68,FAS
FCER1G,CD8A
CKB,LCN2
CLDN5,CLDN2
ESR2,CNN2
CNN2,HMGCS2
CNN2,SIRT5
IL1B,CRP
IL6,CRP
IL8,CRP
CST3,MMP2
CTLA4,CD274
CTLA4,PDCD1
CXCL10,AIP
