Gene1,Gene2
CRP,IL1B
MARCH8,MIRN148B
CKB,LCN2
BCL2,MMRN1
CASP3,MKI67
TFEB,UBXD1
HMBS,RPS27A
HMOX1,NSUN2
BCL2,IL17A
SIRT1,STAT3
IL6,STAT3
MARCH8,SLC7A11
AKT1,IL17A
CD44,SLC22A6
AKT1,MAPK3
AAAS,VCP
PRKAA2,SMAD2
CASP3,SIRT1
GSTCD,HAVCR1
SLC6A12,SLC6A20
CNN2,ESR2
CRP,IL6
CRP,IL8
CASP3,MMRN1
CXCL10,HAVCR1
IL13,IL17A
HMBS,YOD1
IL17A,PIK3CA
AAAS,LAMP1
ACTC1,S100A4
EGFR,HMOX1
CCL2,SMAD2
CASP9,PRKAA1
IL18,LCN2
IL6,PPARGC1A
HMOX1,SMAD2
HAVCR1,SPP1
MAP1LC3A,VCP
ELAVL1,ELAVL2
IL1B,LCN2
GSTA1,LAMP1
GABPA,SIRT1
MKI67,S100A4
IL17A,STAT3
EGFR,MAPK3
BCL2,NR5A2
NFE2L2,PRKAA2
AIP,CCL2
HAVCR1,TIMP1
ACTC1,MKI67
UBXD1,YOD1
LCN2,NPHS1
IL1B,SMAD2
BCL2L11,JUP
CASP3,GSDM1
PLAA,PTP4A2
BCL2,CCL2
HMOX1,PTGS2
AKT1,CCL2
NFE2L2,VEGFA
CCL2,JAK2
EGF,PIK3CA
CASP8,CASP9
ALB,HAVCR1
PPARGC1A,PRKAA2
BAI1,TIMD4
TLR1,TLR4
HMOX1,JAK2
CST3,LCN2
CASP3,NR5A2
IL17A,PPARGC1A
NOS2A,PTGS2
CXCL10,IL13
IL6,MMRN1
TLR2,TLR6
IL6,MAPK3
TFEB,VCP
PPARGC1A,VEGFA
HMOX1,STAT3
CASP3,CCL2
VCPIP1,YOD1
JUP,NFE2L2
PPARGC1A,SETD2
CTLA4,PDCD1
CASP3,CASP9
CYCS,PGAM5
AGT,PIK3CA
HMBS,PLAA
BCL2,SMAD2
MBTPS1,SOD2
EPO,INS
LAMP1,VCPIP1
CD4,KCNQ5
IL17A,SIRT1
JAK2,PRKAA2
BCL2L11,NFE2L2
AAVS1,PRTN3
BAX,HMOX1
CXCL10,CXCL9
SETD2,VEGFA
CASP3,TP53
PTP4A2,VCPIP1
HMOX1,PPARGC1A
IL17A,MMRN1
AKT1,CASP3
HMGB1,PTGS2
PLAA,VCP
MAPK3,VEGFA
LGALS3,RPS27A
CD8A,KLRB1
MMRN1,NFE2L2
CASP3,SMAD2
JAK2,VEGFA
MB,STN
CD68,FAS
TLR1,TLR2
KCNQ5,KLRB1
FOXO3,SIRT1
AKT1,MAPK1
LAMP1,TFEB
MMRN1,PIK3CA
MMP2,PI3
CYP2C9,VKORC1
GAST,REN
TFEB,VCPIP1
CXCL10,TNF
CCL2,HMOX1
CKB,MMP2
PTP4A2,TFEB
JUP,PRKAA2
RPS27A,YOD1
IL17A,PDGFB
CCL2,MMRN1
