0,1
ABCG5,ABCG8
FASN,ACACA
ACE,ACE2
ACSS2,IL1B
WT1,ACTN4
HAVCR1,ADIPOQ
ADIPOQ,LCN2
ADIPOQ,TNF
AGT,ACE
AGT,AGTR1
AGTR1,EGFR
REN,AGTR1
PRKCA,AKT1
CST3,ALB
IL6,ALB
INS,ALB
ALB,TTR
ALPI,PTH
APLP2,GFAP
SAA,APLP2
AQP1,DEFB1
CRHR1,AVP
BAX,BECN1
IGF2BP2,BAX
PRKAA2,BAX
ZIC3,BAX
BECN1,BCL2
IGF2BP2,BCL2
ZIC3,BCL2
BDNF,MKI67
PRKAA2,BECN1
SIRT1,BECN1
CCDC130,CACNA1A
CACNA1A,LSP1
CASP1,SOD1
ZIC3,CASP3
IL1A,CAT
CAT,IL1B
IL6,CAT
CAT,TNF
CCDC130,LSP1
FAS,CCL2
PIK3R1,CCL2
TGFA,CCL2
TNF,CCL2
TNFRSF8,CCL2
TSC1,CCL26
MIRN195,CCND1
CD27,CCL2
CD27,FAS
IL1B,CD27
IL7,CD27
PI3,CD27
CD27,PIK3CG
PIK3R1,CD27
CD27,TNFRSF21
CD27,TNFRSF8
CD46,CFHR5
CFB,CD46
CFB,CFH
CFB,CFHR1
CFB,CFHR2
CFB,CFHR5
CD46,CFHR1
CFH,CFHR1
CFHR5,CFHR1
CD46,CFHR2
CFH,CFHR2
CFHR2,CFHR1
CFHR2,CFHR5
CFH,CFHR5
CHPT1,ACOX1
CNBP,SREBF2
COL1A1,ACTC1
COL4A4,COL1A1
IL10,COL1A1
LOX,COL1A1
COL1A1,SMAD2
COL1AR,ACTC1
COL1A1,COL1AR
CXCR7,COL1AR
ITK,COL1AR
COL1AR,JUP
COL1AR,VIM
COL4A3,AMMECR1
COL4A4,COL4A3
COL4A5,COL4A3
COL4A3,COL4A6
COL4A4,AMMECR1
COL4A4,COL4A5
COL4A4,COL4A6
COL4A5,ACTN4
COL4A5,AMMECR1
COL4A5,COL4A6
MPO,COQ10A
CRHR2,AVP
CRHR2,CRHR1
ALB,CRP
CST3,EGFR
CXCR7,SLC22A3
CYGB,HBB
CYP2E1,CYP2B6
SLC22A6,CYP2B6
SLC22A8,CYP2B6
SLC26A6,CYP2B6
SLC45A2,CYP2B6
SULT1A1,CYP2B6
SLC22A6,CYP2E1
SLC22A8,CYP2E1
SLC26A6,CYP2E1
SLC45A2,CYP2E1
CYP2E1,SULT1A1
DBP,CCND1
STMN1,DMN
EGFR,CACNA1A
EGFR,CCDC130
EGFR,CCL2
EGFR,LSP1
ELN,COL1A1
EPO,CRP
CYGB,EPO
HBB,EPO
PTH,EPO
KL,ERAL1
IL1B,FAS
PIK3R1,FAS
KLRK1,FCGR3A
INS,FGF23
KL,FGF23
FOXO1,BECN1
MT-CO2,FTH1
PTGS2,FTH1
GAPDH,ACOX1
CHPT1,GAPDH
GCG,GCGR
GCG,NR3C2
GCG,SLC5A2
GDF15,FGF23
GDF15,KL
GDF15,LGALS3
GIP,GCG
GIP,GIPR
GCG,GIPR
GLP1R,DPP4
GLP1R,NR3C2
EPO,GPI
GPI,FLOT2
GSDM1,IL18
IL1B,GSDM1
GSDM1,SOD1
HBB,ALB
HBB,CRP
HBB,DCTN5
NR3C2,HIF1A
MYH7,HLA-A
HLA-DRB1,HLA-B
HMGCR,ACACA
HMGCR,FASN
HMGCR,SREBF2
FASN,HMGCS1
LDLR,HMGCS1
PCSK9,HMGCS1
SREBF2,HMGCS1
FGF23,IBSP
KL,IBSP
SOST,IBSP
IFT122,IFT140
IGF1,FGF23
IGF1,INS
IGF1,KL
IGF2BP2,BECN1
IGF2BP2,PRKAA2
IHPK2,IHPK1
IHPK3,IHPK1
IHPK3,IHPK2
IL18,SOD1
IL1A,IL6
IL1A,TNF
IL1B,VWS
IL33,IL1RL1
IL6,CAMP
IL6,IL6R
IL6,SLC5A2
IL6,TGFA
IL7,CCL2
IL7,FAS
IL1B,IL7
PI3,IL7
IL7,PIK3CG
PIK3R1,IL7
IL7,TNFRSF8
INS,DPP4
GLP1R,INS
INS,KL
ITK,ACTC1
ITK,COL1A1
CCR7,JUP
CXCR7,JUP
SLC22A3,JUP
KEAP1,CASP1
KEAP1,IL18
KEAP1,IL1B
KEAP1,KLHL22
MAFK,KEAP1
KEAP1,SOD1
KIT,KITLG
LGALS3,KL
KLRC2,FCGR3A
KLRK1,KLRC2
LAMC1,PLCG1
LAMC2,APLP2
LAMC2,GFAP
LAMC2,NEFL
CAMP,LCN2
LDLR,FASN
LDLR,SREBF2
LGALS3,FGF23
MAFK,KLHL22
MAP1LC3A,BECN1
MAP1LC3A,FOXO1
MAP1LC3A,NPHS1
SIRT1,MAP1LC3A
MIRN126,2024-03-08 00:00:00
AGTR2,MAS1
MAT1A,PPAT
MGP,GLA
