Gene1,Gene2
AQP1,DEFB1
LDLR,PCSK9
ABCG8,NPC1L1
CCND1,MIRN195
PRKAA2,TP53
LAMC1,PLCG1
APLP2,GFAP
CRP,EPO
IGF2BP2,TP53
ACTC1,COL1A1
CYP2E1,SULT1A1
AGTR2,MAS1
DCTN5,HBB
FAS,TNFRSF21
TGFA,TNF
IL1RL1,IL33
IL18,SOD1
FGF23,KL
CFB,CFH
SCAP,SREBF2
BCL2,RORC
NR3C2,REN
ACACA,HMGCR
PIK3R1,TNFRSF21
CCL2,TGFA
BECN1,MAP1LC3A
CNBP,SREBF2
GLP1R,INS
IL1A,SOD1
AGT,AGTR1
PIK3R1,TNFRSF9
FGF23,GDF15
CD46,CFHR5
ABCG5,NPC1L1
CACNA1A,CCDC130
CCL2,TNF
FGF23,SOST
BCL2,BECN1
IHPK1,IHPK3
KL,SOST
SLC39A14,SLC39A8
COL1A1,SMAD2
CCR7,JUP
CCL2,EGFR
EGFR,LSP1
MARCH8,MIRN126
GLP1R,REN
CD46,CFHR2
CAT,IL6
PFKL,PFKP
POLD3,SHC1
TNFRSF21,TNFRSF8
CCL2,TNFRSF8
NR3C2,SLC5A2
APLP2,LAMC2
MYD88,TLR4
FASN,LDLR
ALB,IL6
HMGCR,SREBF2
BCL2,ZIC3
COL4A5,COL4A6
KEAP1,KLHL22
CD27,TNFRSF8
IL1B,TNFRSF8
CACNA1A,LSP1
DMN,STMN1
ACTN4,WT1
DBP,MIRN195
ALB,STAG2
FAS,PI3
HLA-A,MYOG
FOXO1,SIRT1
GFAP,NEFL
FAS,PIK3CG
SLC22A6,SULT1A1
CAMP,MMP2
GCG,GIPR
ACE,AGT
MAFK,NFKB1
JUP,SLC22A3
NFE2L2,NFKB1
FLOT2,GPI
HBB,TF
BECN1,PRKAA2
CYP2B6,SLC22A6
IGF2BP2,PRKAA2
AKT1,PRKCA
CFH,CFHR2
COL4A3,COL4A6
IL6,SOD1
IL7,TNFRSF21
SLC39A8,SLC40A1
OPRK1,OPRM1
SLC11A2,SLC40A1
HIF1A,NR3C2
MAT1A,PPAT
MIRN195,MYLIP
KLRC2,SH2B3
AGT,USP1
ADIPOQ,HAVCR1
COL4A3,COL4A5
IL7,TNFRSF9
COL4A3,COL4A4
ACE,VEGFA
TSC1,TSC2
ACSS2,IL1B
EPO,GPI
LDLR,SREBF2
CAT,TNF
ITK,VIM
AMMECR1,COL4A5
COL1A1,ELN
CCND1,MYLIP
FASN,HMGCR
ALB,HBB
SOD1,TNF
ALPI,PTH
KIT,KITLG
CFB,CFHR5
SLC45A2,SULT1A1
PNPLA3,SLC5A2
CD46,CFB
INS,KL
CYP2B6,SLC22A8
CD27,IL1B
CYP2E1,SLC45A2
TAZ,YY1AP1
NKX2-5,SIRT6
HMGCS1,LDLR
CCDC130,EGFR
PI3,PIK3R1
EDN1,SDC1
FTH1,MT-CO2
CFB,CFHR2
COL4A4,COL4A6
AVP,CRHR2
DPP4,GLP1R
MME,NR3C2
EP300,USP7
COQ10A,MPO
PI3,TNFRSF21
COL4A4,COL4A5
IL1A,IL6
HBB,PSIP1
IL6,SLC5A2
GLP1R,MRAS
FASN,PCSK9
KLHL22,NFE2L2
PIK3R1,TNFRSF8
CFHR2,CFHR5
IL1B,SOD1
IL7,PI3
FAS,TNFRSF9
COL1A1,VIM
ACACA,SREBF2
IL7,PIK3CG
FAS,IL7
BECN1,FOXO1
SLC26A6,SULT1A1
CASP1,KEAP1
FASN,HMGCS1
COL1A1,LOX
ACE,ACE2
ADIPOQ,TNF
TNFRSF8,TNFRSF9
DBP,MYLIP
REN,TGFA
CRHR1,CRHR2
GSDM1,IL18
RORC,TP53
FTH1,PTGS2
WWTR1,YES1
ALB,TTR
GFAP,LAMC2
CFHR1,CFHR2
AAVS1,PFKP
IL6,MMP2
AVPR2,RIMS1
FGF23,INS
IL18,KEAP1
SOD1,SOD3
CCND1,DBP
GCG,GIP
CYP2B6,SLC26A6
CYGB,EPO
ACTC1,ITK
SLC22A6,SLC45A2
IL1B,KEAP1
PFKP,SMAD4
KEAP1,MAFK
FGF23,IGF1
MAP1LC3A,SIRT1
GCG,NR3C2
IL18,NFE2L2
CCDC130,LSP1
CD46,CFHR1
CASP3,ZIC3
CD27,PIK3R1
IL1B,PIK3R1
APLP2,SAA
BAX,PRKAA2
COL1A1,IL10
HLA-A,MYH14
CFH,CFHR5
PI3,PIK3CG
GDF15,LGALS3
CRP,HBB
COL1AR,CXCR7
COL1A1,COL1AR
AMMECR1,COL4A3
CD27,TNFRSF21
CHPT1,GAPDH
IFT122,IFT140
IL1B,TNFRSF21
ACOX1,GAPDH
MAP1LC3A,NPHS2
NPHS1,SIRT1
AGTR1,REN
GLP1R,NR3C2
HMGCS1,PCSK9
CD27,FAS
IL7,TNFRSF8
ACTC1,VIM
FGF23,LGALS3
CCL2,CD27
FOXO1,NPHS2
PIK3CG,PIK3R1
KL,LGALS3
COL1AR,ITK
IL6,STAG2
ALB,INS
SLC11A2,SLC39A8
HIF1A,SLC5A2
CCL26,TSC2
CYP2B6,CYP2E1
CAMP,IL6
REN,STN
BECN1,SIRT1
PIK3CG,TNFRSF21
CYP2E1,SLC22A6
GDF15,ST2
BECN1,IGF2BP2
ACSS2,SIRT1
AMMECR1,COL4A4
FCGR3A,SH2B3
GSDM1,IL1B
PIK3CG,TNFRSF9
LGALS3,ST2
MAFK,TNF
PFKP,SMAD3
IGF1,INS
NFE2L2,TNF
FGF23,ST2
COL1A1,ITK
CXCR7,SLC22A3
BECN1,RORC
KL,ST2
BECN1,NPHS2
KLRC2,KLRK1
CYGB,HBB
COL1AR,VIM
ACTN4,COL4A5
FGF23,IBSP
MRAS,REN
GSDM1,SOD1
CYP2E1,SLC22A8
BDNF,MKI67
CCL2,MIRN223
CD27,PI3
ACOX1,CHPT1
HLA-A,MYH7
SLC26A6,SLC45A2
IL1B,PI3
HLA-B,HLA-DRB1
FAS,TNFRSF8
FOXO1,MAP1LC3A
SIRT1,SLC5A2
ACTC1,COL1AR
